"X","County","Implemented","Year","value","Status","geometry"
1,"Bay County",2002,1992,51.813,"N",c(-85.63, 30.24)
2,"Meixco Beach",2001,1992,13.5,"N",c(-85.406361, 29.941336)
5,"Deerfield Beach",2000,1992,63,"N",c(-80.088615, 26.329422)
6,"Fort Lauderdale",2003,1992,63,"N",c(-80.137314, 26.12243)
7,"Hallandale Beach",2001,1992,63,"N",c(-80.146024, 25.986719)
10,"Lauderdale By the Sea",2002,1992,63,"N",c(-80.09643, 26.19203)
13,"Jacksonville beach",2000,1992,63,"N",c(-81.655647, 30.332184)
16,"Flagler COunty",2001,1992,3.8,"N",c(-81.3, 29.47)
18,"GUlf COunty",2001,1992,0.529,"N",c(-85.24, 29.9)
19,"Bonita SPrings",2001,1992,62.889,"N",c(-81.7787, 26.33981)
21,"Anna Maria Island",2003,1992,54.438,"N",c(-82.719, 27.513)
31,"Destin",2004,1992,60.125,"N",c(-86.495781, 30.393534)
36,"Pinelals County",2004,1992,63,"N",c(-82.74, 27.9)
42,"Santa Rosa",2005,1992,7.744,"N",c(-86.2288322, 30.3960324)
47,"Bay County",2002,1993,56.529,"N",c(-85.63, 30.24)
48,"Meixco Beach",2001,1993,17.939,"N",c(-85.406361, 29.941336)
51,"Deerfield Beach",2000,1993,63,"N",c(-80.088615, 26.329422)
52,"Fort Lauderdale",2003,1993,63,"N",c(-80.137314, 26.12243)
53,"Hallandale Beach",2001,1993,63,"N",c(-80.146024, 25.986719)
56,"Lauderdale By the Sea",2002,1993,63,"N",c(-80.09643, 26.19203)
59,"Jacksonville beach",2000,1993,63,"N",c(-81.655647, 30.332184)
62,"Flagler COunty",2001,1993,1.371,"N",c(-81.3, 29.47)
64,"GUlf COunty",2001,1993,0,"N",c(-85.24, 29.9)
65,"Bonita SPrings",2001,1993,61.417,"N",c(-81.7787, 26.33981)
67,"Anna Maria Island",2003,1993,50.947,"N",c(-82.719, 27.513)
77,"Destin",2004,1993,58.672,"N",c(-86.495781, 30.393534)
82,"Pinelals County",2004,1993,63,"N",c(-82.74, 27.9)
88,"Santa Rosa",2005,1993,8.221,"N",c(-86.2288322, 30.3960324)
93,"Bay County",2002,1994,53.5495,"N",c(-85.63, 30.24)
94,"Meixco Beach",2001,1994,18.7255,"N",c(-85.406361, 29.941336)
97,"Deerfield Beach",2000,1994,63,"N",c(-80.088615, 26.329422)
98,"Fort Lauderdale",2003,1994,63,"N",c(-80.137314, 26.12243)
99,"Hallandale Beach",2001,1994,63,"N",c(-80.146024, 25.986719)
102,"Lauderdale By the Sea",2002,1994,62.4375,"N",c(-80.09643, 26.19203)
105,"Jacksonville beach",2000,1994,62.9675,"N",c(-81.655647, 30.332184)
108,"Flagler COunty",2001,1994,1.875,"N",c(-81.3, 29.47)
110,"GUlf COunty",2001,1994,0.197,"N",c(-85.24, 29.9)
111,"Bonita SPrings",2001,1994,61.8415,"N",c(-81.7787, 26.33981)
113,"Anna Maria Island",2003,1994,51.568,"N",c(-82.719, 27.513)
