,County,Implemented,Year,value,Long,Lat
1,Bay County,2002,1992,51.813,-85.63,30.24
2,Meixco Beach,2001,1992,13.5,-85.406361,29.941336
3,Panama City Beach,2009,1992,60.444,-85.805489,30.176592
4,Dania Beach,2011,1992,62.118,-80.14393,26.05231
5,Deerfield Beach,2000,1992,63,-80.088615,26.329422
6,Fort Lauderdale,2003,1992,63,-80.137314,26.12243
7,Hallandale Beach,2001,1992,63,-80.146024,25.986719
8,Hillsboro Beach,2007,1992,61.846,-82.35,27.91
9,Hollywoord,2011,1992,63,-80.142967,26.01128
10,Lauderdale By the Sea,2002,1992,63,-80.09643,26.19203
11,Pompano Beach,1999,1992,63,-80.122948,26.24354
12,Marco Island,1998,1992,61.789,-81.714722,25.940556
13,Jacksonville beach,2000,1992,63,-81.655647,30.332184
14,Neptune Beach,1999,1992,62.735,-81.396606,30.312866
15,Escambia COunty,2013,1992,63,-87.240372,30.433283
16,Flagler COunty,2001,1992,3.8,-81.3,29.47
17,Franklin County,1998,1992,0,-84.82,29.8
18,GUlf COunty,2001,1992,0.529,-85.24,29.9
19,Bonita SPrings,2001,1992,62.889,-81.7787,26.33981
20,Sanibel,1997,1992,30.167,-82.111511,26.443398
21,Anna Maria Island,2003,1992,54.438,-82.719,27.513
22,Bradenton ,1998,1992,63,-82.574821,27.498928
23,Golden Beach,1997,1992,63,-80.122481,25.964869
24,Miami Beach,2006,1992,63,-80.191788,25.761681
25,Sunny Isles Beach,2009,1992,63,-80.12166618,25.93832958
26,Village of Key Biscayne,2009,1992,54.789,-80.165059,25.6908507
27,Key West,1995,1992,56.778,-81.779984,24.555059
28,Marathon,1994,1992,57.842,-81.081161,24.723757
29,Monroe,1994,1992,0,-80.9372932,25.3128967
30,Village of Islamorada,1998,1992,24.286,-80.60816423,24.93482959
31,Destin,2004,1992,60.125,-86.495781,30.393534
32,Juno Beach,1998,1992,59.059,-80.05822,26.89307
33,Belleair Beach,2008,1992,63,-82.839377,27.924748
34,Clearwater,1999,1992,63,-82.796745,27.972572
35,Indian Shores,1994,1992,62,-82.83932998,27.85032993
36,Pinelals County,2004,1992,63,-82.74,27.9
37,Redington Shores,2007,1992,63,-82.8249967,27.82349671
38,St. Pete Beach,2007,1992,63,-82.741943,27.724722
39,Treasure Island,1999,1992,63,-82.759659,27.745003
40,St. Augustine Beach,1995,1992,60.941,-81.312431,29.901243
41,St. Johns County,1996,1992,46.917,-81.41,29.91
42,Santa Rosa,2005,1992,7.744,-86.2288322,30.3960324
43,City of Sarasota,1999,1992,63,-82.546144,27.3370523
44,Sarasota County,1997,1992,1.813,-82.3331489,27.166997
45,New Smyrna Beach,1999,1992,63,-82.528267,27.341274
46,Walton,2009,1992,62.313,-86.617928,30.418776
47,Bay County,2002,1993,56.529,-85.63,30.24
48,Meixco Beach,2001,1993,17.939,-85.406361,29.941336
49,Panama City Beach,2009,1993,58.485,-85.805489,30.176592
50,Dania Beach,2011,1993,63,-80.14393,26.05231
51,Deerfield Beach,2000,1993,63,-80.088615,26.329422
52,Fort Lauderdale,2003,1993,63,-80.137314,26.12243
53,Hallandale Beach,2001,1993,63,-80.146024,25.986719
54,Hillsboro Beach,2007,1993,62.306,-82.35,27.91
55,Hollywoord,2011,1993,63,-80.142967,26.01128
56,Lauderdale By the Sea,2002,1993,63,-80.09643,26.19203
57,Pompano Beach,1999,1993,63,-80.122948,26.24354
58,Marco Island,1998,1993,61.423,-81.714722,25.940556
59,Jacksonville beach,2000,1993,63,-81.655647,30.332184
60,Neptune Beach,1999,1993,61.194,-81.396606,30.312866
61,Escambia COunty,2013,1993,63,-87.240372,30.433283
62,Flagler COunty,2001,1993,1.371,-81.3,29.47
