,BayCounty,MeixcoBeach,PanamaCityBeach,CapeCanaveral,SatelliteBeach,DaniaBeach,DeerfieldBeach,FortLauderdale,HallandaleBeach,HillsboroBeach,Hollywoord,LauderdaleBytheSea,PompanoBeach,MarcoIsland,Jacksonvillebeach,NeptuneBeach,EscambiaCOunty,FlaglerCOunty,FranklinCounty,GUlfCOunty,HillsboroughCounty,Orchid,VeroBeach,BonitaSPrings,Sanibel,AnnaMariaIsland,Bradenton ,TownofJupiterIsland,GoldenBeach,MiamiBeach,SunnyIslesBeach,VillageofKeyBiscayne,KeyWest,Marathon,Monroe,VillageofIslamorada,Destin,JunoBeach,BelleairBeach,Clearwater,Dunedin,IndianROcks,IndianShores,MadeiraBeach,PinelalsCounty,RedingtonShores,St.PeteBeach,TreasureIsland,St.AugustineBeach,St.JohnsCounty,SantaRosa,CityofSarasota,SarasotaCounty,NewSmyrnaBeach,Walton
1/1/1992,51.813,13.5,60.444,62.692,59.875,62.118,63,63,63,61.846,63,63,63,61.789,63,62.735,63,3.8,0,0.529,63,16.923,63,62.889,30.167,54.438,63,63,63,63,63,54.789,56.778,57.842,0,24.286,60.125,59.059,63,63,63,63,62,62.624,63,63,63,63,60.941,46.917,7.744,63,1.813,63,62.313
1/1/1993,56.529,17.939,58.485,63,61.943,63,63,63,63,62.306,63,63,63,61.423,63,61.194,63,1.371,0,0,62.811,13.463,63,61.417,27.958,50.947,63,62.773,63,62.755,63,59.542,58.038,48.86,0,30.396,58.672,61.311,61.294,63,63,62.806,62.515,62.731,63,63,62.324,62.189,60.131,47.143,8.221,62.725,1.184,63,61.419
1/1/1994,53.5495,18.7255,58.796,60.445,58.6975,63,63,63,63,61.931,63,62.4375,63,59.2075,62.9675,62.0685,63,1.875,0,0.197,62.26,14.3135,62.4165,61.8415,26.7065,51.568,63,61.881,63,62.777,62.9625,57.6105,57.277,45.754,0.0845,34.195,55.1445,57.952,62.343,63,63,62.896,61.9815,62.558,63,60.985,62.634,62.549,62.746,42.4775,6.586,62.9735,2.768,62.318,62.6925
1/1/1995,55.816,21.482,60.745,61.109,57.78,63,63,63,63,62,63,62.86,63,62.163,63,62.875,63,3.88,0.269,0.321,62.857,18.935,63,62.188,31.283,51.86,62.813,62.854,62.692,63,63,59.519,59.481,53.157,0.171,34.865,60.198,57.44,62.7,63,63,62.843,62.635,62.721,63,62.686,62.451,62.56,62.896,50.694,8.264,63,6.089,62.86,63
1/1/1996,55.204,22.113,61.692,60.542,59.125,63,62.791,63,63,63,63,62.68,62.957,62.073,63,62.493,63,2.578,0,0.692,63,19.826,62.13,62.563,25.228,52.04,63,61.837,63,63,63,60.056,60.121,48.541,0.106,37.115,60.378,57.617,62.5,63,63,63,62.962,62.953,63,63,63,63,61.964,48.224,10.981,63,6.073,63,62.579
1/1/1997,56.2805,23.6415,61.022,61.7135,56.9295,63,63,63,62.9285,62.225,63,62.6715,63,61.5785,63,61.209,63,4.017,0,1.2545,62.6965,15.2375,62.293,62.2085,23.863,45.8955,63,62.8835,62.628,62.9485,62.223,57.8195,60.193,45.326,0.0085,30.5685,60.398,54.0015,62.5895,63,63,62.9565,62.7905,63,63,62.7415,62.4405,62.9285,61.2315,45.975,10.0645,62.813,6.031,62.4585,62.352
1/1/1998,61.9225,22.9205,59.6735,62.9715,60.0165,63,63,63,63,61.516,63,62.898,63,62.859,63,62.995,63,2.0215,0,0.403,62.625,19.852,62.6145,62.422,22.5235,49.734,63,62.133,63,62.9645,63,58.241,57.4915,51.722,0,26.6865,58.673,60.6525,61.5925,63,63,62.879,62.544,62.366,63,61.897,62.689,61.265,61.514,45.819,14.0975,63,8.3965,63,62.987
1/1/1999,60.9565,24.896,54.0555,59.5605,61.4065,63,63,63,63,62.8335,63,62.6155,63,63,63,62.9445,62.818,1.5235,0,0,63,21.2325,61.809,62.35,25.139,49.625,63,63,62.5385,62.155,62.844,53.344,56.202,58.69,0,26.8685,59.4755,61.4235,61.5855,63,63,63,62.2175,62.0215,63,60.76,63,61.0285,61.3565,41.26,17.0895,63,8.3835,63,63
1/1/2000,60.598,20.856,56.337,61.4105,57.85,63,62.7965,63,63,62.6905,63,60.9445,62.722,60.0405,62.9185,62.241,62.149,2.783,0.0865,0.1205,63,25.5855,62.9615,60.5635,18.92,48.593,63,62.9245,61.9645,62.519,61.625,50.674,48.687,51.3185,0.1295,23.3495,56.8475,59.173,62.1685,63,63,62.75,61.3295,62.243,63,59.892,62.354,61.866,62.6615,42.754,15.305,63,5.8625,63,61.7175
1/1/2001,60.8275,20.2765,55.749,61.4735,57.7455,63,62.502,63,63,63,63,62.555,63,62.0875,63,62.559,62.5625,2.8465,0,0,63,32.446,63,62.599,18.1285,50.934,63,62.2895,63,62.871,62.4735,57.2615,58.014,52.9195,0,24.232,54.4675,61.13,62.431,63,62.9835,62.9125,61.976,62.4335,63,61.5,62.746,60.835,62.189,38.203,16.1405,62.9445,5.9625,63,61.441
