,Bay County,Meixco Beach,Panama City Beach,Cape Canaveral,Satellite Beach,Dania Beach,Deerfield Beach,Fort Lauderdale,Hallandale Beach,Hillsboro Beach,Hollywoord,Lauderdale By the Sea,Pompano Beach,Marco Island,Jacksonville beach,Neptune Beach,Escambia COunty,Flagler COunty,Franklin County,GUlf COunty,Hillsborough County,Orchid,Vero Beach,Bonita SPrings,Sanibel,Anna Maria Island,Bradenton ,Town of Jupiter Island,Golden Beach,Miami Beach,Sunny Isles Beach,Village of Key Biscayne,Key West,Marathon,Monroe,Village of Islamorada,Destin,Juno Beach,Belleair Beach,Clearwater,Dunedin,Indian ROcks,Indian Shores,Madeira Beach,Pinelals County,Redington Shores,St. Pete Beach,Treasure Island,St. Augustine Beach,St. Johns County,Santa Rosa,City of Sarasota,Sarasota County,New Smyrna Beach,Walton
Year_Implemented,2002,2001,2009,1990,1990,2011,2000,2003,2001,2007,2011,2002,1999,1998,2000,1999,2013,2001,1998,2001,None,1993,1990,2001,1997,2003,1998,1992,1997,2006,2009,2009,1995,1994,1994,1998,2004,1998,2008,1999,1991,1991,1994,1990,2004,2007,2007,1999,1995,1996,2005,1999,1997,1999,2009
Coordinates,"-85.63, 30.24 "," -85.406361, 29.941336","-85.805489, 30.176592","-80.605659, 28.396837","-80.59005, 28.17612 ","-80.14393, 26.05231 "," -80.088615,26.329422","-80.137314, 26.12243","-80.146024, 25.986719"," -82.35, 27.91"," -80.142967, 26.011280"," -80.09643, 26.19203","-80.122948, 26.243540","-81.714722, 25.940556","-81.655647, 30.332184"," -81.396606, 30.312866","-87.240372, 30.433283","-81.3, 29.47 ","-84.82, 29.8 ","-85.24, 29.9 "," -82.3498148, 27.9169679"," -80.413238, 27.776146","-80.397270, 27.638643","-81.7787, 26.33981 ","-82.111511, 26.443398","-82.719, 27.513 ","-82.574821, 27.498928","-80.094208, 26.934225","-80.122481, 25.964869 "," -80.191788, 25.761681"," -80.12166618, 25.93832958","-80.165059, 25.6908507","-81.779984, 24.555059","-81.081161, 24.723757","-80.9372932, 25.3128967","-80.608164234, 24.934829594 ","-86.495781, 30.393534"," -80.058220, 26.893070","-82.839377, 27.924748 "," -82.796745, 27.972572","-82.764473, 28.018349"," -82.841829966, 27.89082977"," -82.839329976, 27.850329932","-82.790623, 27.795853","-82.74, 27.9 "," -82.8249967, 27.823496706","-82.741943, 27.724722","-82.759659, 27.745003","-81.312431, 29.901243","-81.41, 29.91 ","-86.2288322, 30.3960324","-82.546144, 27.3370523","-82.3331489,  27.166997","-82.528267, 27.341274","-86.617928, 30.418776"
1-Jan-92,51.813,13.5,60.444,62.692,59.875,62.118,63,63,63,61.846,63,63,63,61.789,63,62.735,63,3.8,0,0.529,63,16.923,63,62.889,30.167,54.438,63,63,63,63,63,54.789,56.778,57.842,0,24.286,60.125,59.059,63,63,63,63,62,62.624,63,63,63,63,60.941,46.917,7.744,63,1.813,63,62.313
1-Jan-93,56.529,17.939,58.485,63,61.943,63,63,63,63,62.306,63,63,63,61.423,63,61.194,63,1.371,0,0,62.811,13.463,63,61.417,27.958,50.947,63,62.773,63,62.755,63,59.542,58.038,48.86,0,30.396,58.672,61.311,61.294,63,63,62.806,62.515,62.731,63,63,62.324,62.189,60.131,47.143,8.221,62.725,1.184,63,61.419
1-Jan-94,53.5495,18.7255,58.796,60.445,58.6975,63,63,63,63,61.931,63,62.4375,63,59.2075,62.9675,62.0685,63,1.875,0,0.197,62.26,14.3135,62.4165,61.8415,26.7065,51.568,63,61.881,63,62.777,62.9625,57.6105,57.277,45.754,0.0845,34.195,55.1445,57.952,62.343,63,63,62.896,61.9815,62.558,63,60.985,62.634,62.549,62.746,42.4775,6.586,62.9735,2.768,62.318,62.6925
1-Jan-95,55.816,21.482,60.745,61.109,57.78,63,63,63,63,62,63,62.86,63,62.163,63,62.875,63,3.88,0.269,0.321,62.857,18.935,63,62.188,31.283,51.86,62.813,62.854,62.692,63,63,59.519,59.481,53.157,0.171,34.865,60.198,57.44,62.7,63,63,62.843,62.635,62.721,63,62.686,62.451,62.56,62.896,50.694,8.264,63,6.089,62.86,63
1-Jan-96,55.204,22.113,61.692,60.542,59.125,63,62.791,63,63,63,63,62.68,62.957,62.073,63,62.493,63,2.578,0,0.692,63,19.826,62.13,62.563,25.228,52.04,63,61.837,63,63,63,60.056,60.121,48.541,0.106,37.115,60.378,57.617,62.5,63,63,63,62.962,62.953,63,63,63,63,61.964,48.224,10.981,63,6.073,63,62.579
1-Jan-97,56.2805,23.6415,61.022,61.7135,56.9295,63,63,63,62.9285,62.225,63,62.6715,63,61.5785,63,61.209,63,4.017,0,1.2545,62.6965,15.2375,62.293,62.2085,23.863,45.8955,63,62.8835,62.628,62.9485,62.223,57.8195,60.193,45.326,0.0085,30.5685,60.398,54.0015,62.5895,63,63,62.9565,62.7905,63,63,62.7415,62.4405,62.9285,61.2315,45.975,10.0645,62.813,6.031,62.4585,62.352
1-Jan-98,61.9225,22.9205,59.6735,62.9715,60.0165,63,63,63,63,61.516,63,62.898,63,62.859,63,62.995,63,2.0215,0,0.403,62.625,19.852,62.6145,62.422,22.5235,49.734,63,62.133,63,62.9645,63,58.241,57.4915,51.722,0,26.6865,58.673,60.6525,61.5925,63,63,62.879,62.544,62.366,63,61.897,62.689,61.265,61.514,45.819,14.0975,63,8.3965,63,62.987
1-Jan-99,60.9565,24.896,54.0555,59.5605,61.4065,63,63,63,63,62.8335,63,62.6155,63,63,63,62.9445,62.818,1.5235,0,0,63,21.2325,61.809,62.35,25.139,49.625,63,63,62.5385,62.155,62.844,53.344,56.202,58.69,0,26.8685,59.4755,61.4235,61.5855,63,63,63,62.2175,62.0215,63,60.76,63,61.0285,61.3565,41.26,17.0895,63,8.3835,63,63
